acc.x, acc.y, acc.z, gyro.x, gyro.y, gyro.z, magn.x, magn.y, magn.z, roll, pitch, yaw, roll_var, pitch_var, yaw_var, kf_dt, throttle, command_roll, command_pitch, command_yaw, pid_roll, pid_pitch, pid_yaw, motors_armed, m1_speed, m2_speed, m3_speed, m4_speed
-0.705284, -0.401396, 0.000000, 0.014966, 0.069486, 0.001069, 0.000000, -0.881622, -0.266034, 0.000032, -0.824509, -0.000000, 0.129120, 0.000032, -0.001941, 4252585520795746304, 44.048523, 0.016035, 0.059101, 0.002902, -0.739980, -0.373280, 9.823136, 107, 59027, 25920, 31168, 33088
-0.714856, -0.385244, 9.817153, 0.016799, 0.069791, 0.001222, 7.687811, 3.478515, -45.746857, 2.157635, 0.781087, 152.027161, 0.077629, 0.017536, 0.001357, 79940, 0.000000, 0.000000, 0.000000, 0.000000, -2.157635, -0.781087, -0.000000, 0, 1080, 1087, 1095, 1080
-0.713659, -0.377468, 9.833903, 0.019242, 0.071319, -0.003512, 7.687811, 3.946214, -45.644550, 0.930734, 0.172554, 151.892548, 0.077605, 0.017531, 0.001356, 79936, 0.000000, 0.000000, 0.000000, 0.000000, -0.930734, -0.172554, 0.000000, 0, 1080, 1083, 1085, 1080
-0.710070, -0.380459, 9.842876, 0.019395, 0.065821, -0.001680, 8.126279, 3.916983, -45.819935, 2.159525, 0.787164, 152.062500, 0.077580, 0.017525, 0.001356, 79948, 0.000000, 0.000000, 0.000000, 0.000000, -2.159525, -0.787164, -0.000000, 0, 1080, 1087, 1095, 1080
-0.726820, -0.380459, 9.839885, 0.016035, 0.062461, 0.006872, 7.468577, 3.873137, -45.878399, 0.905117, 0.235842, 151.925827, 0.077556, 0.017519, 0.001355, 79936, 0.000000, 0.000000, 0.000000, 0.000000, -0.905117, -0.235842, 0.000000, 0, 1080, 1083, 1085, 1080
-0.722034, -0.389432, 9.878170, 0.015119, 0.068875, 0.000611, 8.023970, 4.121602, -45.732243, 2.119123, 0.870540, 152.081467, 0.077531, 0.017514, 0.001355, 79948, 0.000000, 0.000000, 0.000000, 0.000000, -2.119123, -0.870540, -0.000000, 0, 1080, 1086, 1095, 1080
-0.734596, -0.384646, 9.849456, 0.017868, 0.066584, 0.001527, 7.527039, 3.668518, -45.746857, 0.874821, 0.296738, 151.954300, 0.077507, 0.017509, 0.001354, 79940, 0.000000, 0.000000, 0.000000, 0.000000, -0.874821, -0.296738, 0.000000, 0, 1080, 1082, 1085, 1080
-0.728615, -0.389432, 9.854840, 0.019395, 0.066279, -0.001527, 7.717041, 4.194680, -45.995323, 2.102433, 0.895038, 152.086075, 0.077482, 0.017503, 0.001354, 79940, 0.000000, 0.000000, 0.000000, 0.000000, -2.102433, -0.895038, -0.000000, 0, 1080, 1086, 1095, 1080
-0.722034, -0.376870, 9.839287, 0.015424, 0.063835, 0.001374, 7.161649, 4.209296, -45.629932, 0.939616, 0.170795, 151.939957, 0.077456, 0.017499, 0.001353, 79940, 0.000000, 0.000000, 0.000000, 0.000000, -0.939616, -0.170795, 0.000000, 0, 1080, 1083, 1085, 1080
-0.722034, -0.401994, 9.824929, 0.013134, 0.065821, 0.000764, 7.000877, 4.077755, -46.506870, 1.791189, 1.205016, 152.010529, 0.077425, 0.017500, 0.001353, 79944, 0.000000, 0.000000, 0.000000, 0.000000, -1.791189, -1.205016, -0.000000, 0, 1080, 1082, 1095, 1080
-0.718445, -0.393021, 9.829716, 0.015730, 0.062461, 0.003818, 7.220111, 3.551593, -46.009941, 0.889011, 0.173846, 151.916702, 0.077395, 0.017500, 0.001352, 79940, 0.000000, 0.000000, 0.000000, 0.000000, -0.889011, -0.173846, 0.000000, 0, 1080, 1083, 1085, 1080
-0.730409, -0.393619, 9.828520, 0.016035, 0.063377, -0.002749, 7.863198, 3.478515, -45.717628, 2.056001, 0.901213, 152.088013, 0.077369, 0.017496, 0.001352, 79932, 0.000000, 0.000000, 0.000000, 0.000000, -2.056001, -0.901213, -0.000000, 0, 1080, 1085, 1095, 1080
